sku_id,category,region,customer_tier,current_price,recommended_price,price_change_pct,predicted_current_units,predicted_recommended_units,current_revenue,projected_revenue,current_gross_profit,projected_gross_profit,gross_profit_lift,gross_margin_pct,expected_ending_inventory,expected_weeks_of_cover,elasticity,elasticity_confidence,recommendation_action,reason_code,guardrail_triggered,approval_status,policy_version,pricing_action,pricing_reason_code,modeled_gp_lift,on_hand_inventory,on_order_inventory,average_weekly_demand,demand_std,inventory_turns,on_hand_weeks_of_cover,available_weeks_of_cover,sell_through_rate,stockout_probability,safety_stock,reorder_point,excess_units,excess_inventory_value,lost_sales_estimate,obsolescence_risk_score,inventory_status,inventory_action,inventory_reason_code,recommended_order_quantity,transfer_candidate_flag,pricing_confidence,inventory_confidence,joint_confidence,joint_confidence_score,manual_review_required,generated_at
SKU-00001,Brakes,Vancouver Island,Retail,678.82,746.99,0.1004,6.84,6.607730170649056,4643.1288,4935.908360173138,1701.8604000000005,2094.5183094923377,392.65790949233724,0.4243430300271757,69.20226982935094,10.472926109595274,-0.36101406180753753,0.435,Increase,NO_MATERIAL_OPPORTUNITY,MAX_MOVE,Pending,v2.0.0-inventory-engine,Increase,NO_MATERIAL_OPPORTUNITY,392.65790949233724,238.98000000000002,0.0,7.61,1.27,0.108,31.4,31.4,0.0799,0.0,4.88,46.19,178.1,76584.78,0.0,1.0,OBSOLETE_RISK,STOP_OR_DELAY_ORDER,OBSOLESCENCE_STOP_ORDER,0.0,False,0.435,0.74,HIGH,0.74,False,2026-06-19T14:14:09.833501
SKU-00001,Brakes,Vancouver Island,Trade,634.46,664.99,0.0481,6.88,6.814793122580354,4365.0848000000005,4531.769278584709,1406.6160000000004,1601.3400879439314,194.72408794393095,0.353358697123265,75.91520687741965,11.139766902957005,-0.20262547698283181,0.37,Increase,MAP_CONSTRAINT,"MAX_MOVE,MAP",Pending,v2.0.0-inventory-engine,Increase,MAP_CONSTRAINT,194.72408794393095,238.98000000000002,0.0,7.61,1.27,0.108,31.4,31.4,0.0799,0.0,4.88,46.19,178.1,76584.78,0.0,1.0,OBSOLETE_RISK,STOP_OR_DELAY_ORDER,OBSOLESCENCE_STOP_ORDER,0.0,False,0.37,0.718,HIGH,0.718,False,2026-06-19T14:14:09.833602
SKU-00002,Tools,Interior,Fleet,179.01,211.99,0.1842,14.28,14.040559013155177,2556.2628,2976.458105198766,84.9659999999999,546.598962382131,461.63296238213115,0.18364073777064954,17.419440986844826,1.2406515275156662,-0.1,0.9,Increase,PRICE_LADDER_CONSTRAINT,"MAX_MOVE,MARGIN_FLOOR,TIER_LADDER,STOCKOUT_PROTECTION,MARGIN_FLOOR",Pending,v2.0.0-inventory-engine,Increase,PRICE_LADDER_CONSTRAINT,461.63296238213115,119.09,8.61,14.03,2.331,0.375,8.49,9.1,0.2493,0.0,9.19,89.36,15.46,2675.51,0.0,0.645,OBSOLETE_RISK,INTER_REGION_TRANSFER,REGIONAL_IMBALANCE_TRANSFER,0.0,True,0.9,0.903,HIGH,0.903,False,2026-06-19T14:14:09.833693
SKU-00002,Tools,Interior,Retail,218.57,225.99,0.0339,13.79,13.744039643923532,3014.0802999999996,3106.0155191302792,627.5828999999999,727.4720183528725,99.88911835287263,0.23421390327005617,4.465960356076469,0.32493797106085504,-0.1,1.0,Increase,NO_MATERIAL_OPPORTUNITY,"MAX_MOVE,STOCKOUT_PROTECTION",Pending,v2.0.0-inventory-engine,Increase,NO_MATERIAL_OPPORTUNITY,99.88911835287263,119.09,8.61,14.03,2.331,0.375,8.49,9.1,0.2493,0.0,9.19,89.36,15.46,2675.51,0.0,0.645,OBSOLETE_RISK,INTER_REGION_TRANSFER,REGIONAL_IMBALANCE_TRANSFER,0.0,True,1.0,0.938,HIGH,0.938,False,2026-06-19T14:14:09.833778
SKU-00002,Tools,Interior,Trade,209.61,218.99,0.0447,11.47,11.419897064801455,2404.2267,2500.8432582208707,419.22849999999994,524.5158721863309,105.28737218633091,0.20973560436549615,58.00010293519855,5.078863899217373,-0.1,0.91,Increase,PRICE_LADDER_CONSTRAINT,"MAX_MOVE,TIER_LADDER",Pending,v2.0.0-inventory-engine,Increase,PRICE_LADDER_CONSTRAINT,105.28737218633091,119.09,8.61,14.03,2.331,0.375,8.49,9.1,0.2493,0.0,9.19,89.36,15.46,2675.51,0.0,0.645,OBSOLETE_RISK,INTER_REGION_TRANSFER,REGIONAL_IMBALANCE_TRANSFER,0.0,True,0.91,0.907,HIGH,0.907,False,2026-06-19T14:14:09.833868
SKU-00002,Tools,Lower Mainland,Fleet,205.79,211.99,0.0301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.625,Increase,STOCKOUT_PROTECTION,"MARGIN_FLOOR,TIER_LADDER,STOCKOUT_PROTECTION,MARGIN_FLOOR",Pending,v2.0.0-inventory-engine,Increase,STOCKOUT_PROTECTION,0.0,9.12,76.6,22.163,3.433,5.615,0.41,3.87,0.722,1.0,13.54,140.18,0.0,0.0,41.97,0.795,STOCKOUT_RISK,EXPEDITE_ORDER,HIGH_STOCKOUT_RISK,60.0,True,0.625,0.799,HIGH,0.799,False,2026-06-19T14:14:09.833954
SKU-00002,Tools,Lower Mainland,Retail,213.68,220.99,0.0342,23.68,23.60047931383194,5059.9424,5215.469923563721,961.8815999999997,1131.1709735119653,169.28937351196555,0.21688764197475005,0.0,0.0,-0.1,0.785,Increase,NO_MATERIAL_OPPORTUNITY,"MAX_MOVE,STOCKOUT_PROTECTION",Pending,v2.0.0-inventory-engine,Increase,NO_MATERIAL_OPPORTUNITY,169.28937351196555,9.12,76.6,22.163,3.433,5.615,0.41,3.87,0.722,1.0,13.54,140.18,0.0,0.0,41.97,0.795,STOCKOUT_RISK,EXPEDITE_ORDER,HIGH_STOCKOUT_RISK,60.0,True,0.785,0.855,HIGH,0.855,False,2026-06-19T14:14:09.834040
SKU-00002,Tools,Lower Mainland,Trade,196.19,211.99,0.0805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.73,Increase,LOW_MARGIN_PROTECTION,"MARGIN_FLOOR,STOCKOUT_PROTECTION,MARGIN_FLOOR",Pending,v2.0.0-inventory-engine,Increase,LOW_MARGIN_PROTECTION,0.0,9.12,76.6,22.163,3.433,5.615,0.41,3.87,0.722,1.0,13.54,140.18,0.0,0.0,41.97,0.795,STOCKOUT_RISK,EXPEDITE_ORDER,HIGH_STOCKOUT_RISK,60.0,True,0.73,0.836,HIGH,0.836,False,2026-06-19T14:14:09.834125
SKU-00002,Tools,Northern BC,Fleet,170.95,211.99,0.2401,10.55,10.325422531482689,1803.5225,2188.886322449015,-22.260500000000093,401.968699150621,424.22919915062107,0.18364073777064951,114.35457746851732,11.075050645128076,-0.1,1.0,Increase,PRICE_LADDER_CONSTRAINT,"MAX_MOVE,MARGIN_FLOOR,TIER_LADDER,MARGIN_FLOOR",Pending,v2.0.0-inventory-engine,Increase,PRICE_LADDER_CONSTRAINT,424.22919915062107,221.37,82.56,10.24,1.484,0.165,21.62,29.68,0.1283,0.0,5.85,64.37,222.01,38421.05,0.0,0.995,OBSOLETE_RISK,INTER_REGION_TRANSFER,REGIONAL_IMBALANCE_TRANSFER,0.0,True,1.0,0.938,HIGH,0.938,False,2026-06-19T14:14:09.834209
SKU-00002,Tools,Northern BC,Retail,211.44,232.99,0.1019,11.18,11.072018185357171,2363.8992,2579.6695170063676,429.08839999999987,663.5460498484556,234.45764984845573,0.2572213399716727,78.10798181464284,7.054538793834465,-0.1,0.905,Increase,NO_MATERIAL_OPPORTUNITY,MAX_MOVE,Pending,v2.0.0-inventory-engine,Increase,NO_MATERIAL_OPPORTUNITY,234.45764984845573,221.37,82.56,10.24,1.484,0.165,21.62,29.68,0.1283,0.0,5.85,64.37,222.01,38421.05,0.0,0.995,OBSOLETE_RISK,INTER_REGION_TRANSFER,REGIONAL_IMBALANCE_TRANSFER,0.0,True,0.905,0.905,HIGH,0.905,False,2026-06-19T14:14:09.834292
SKU-00002,Tools,Northern BC,Trade,199.55,211.99,0.0623,10.86,10.794523123204637,2167.113,2288.3309568881514,287.68139999999994,420.2307851863568,132.54938518635686,0.18364073777064965,0.0,0.0,-0.1,0.965,Increase,PRICE_LADDER_CONSTRAINT,"MAX_MOVE,TIER_LADDER,STOCKOUT_PROTECTION,MARGIN_FLOOR",Pending,v2.0.0-inventory-engine,Increase,PRICE_LADDER_CONSTRAINT,132.54938518635686,221.37,82.56,10.24,1.484,0.165,21.62,29.68,0.1283,0.0,5.85,64.37,222.01,38421.05,0.0,0.995,OBSOLETE_RISK,INTER_REGION_TRANSFER,REGIONAL_IMBALANCE_TRANSFER,0.0,True,0.965,0.926,HIGH,0.926,False,2026-06-19T14:14:09.834378
SKU-00002,Tools,Vancouver Island,Fleet,186.54,208.99,0.1203,8.37,8.275421143465422,1561.3397999999997,1729.4802647728386,133.8362999999997,318.10718875481075,184.27088875481104,0.18393224556198856,0.0,0.0,-0.1,1.0,Increase,PRICE_LADDER_CONSTRAINT,"MAX_MOVE,MARGIN_FLOOR,TIER_LADDER,STOCKOUT_PROTECTION,MARGIN_FLOOR",Pending,v2.0.0-inventory-engine,Increase,PRICE_LADDER_CONSTRAINT,184.27088875481104,61.15,5.22,14.404,3.905,0.598,4.25,4.61,0.3928,0.9561,15.4,97.71,0.0,0.0,9.15,0.645,STOCKOUT_RISK,EXPEDITE_ORDER,HIGH_STOCKOUT_RISK,36.0,True,1.0,0.93,HIGH,0.93,False,2026-06-19T14:14:09.834465
SKU-00002,Tools,Vancouver Island,Retail,215.05,221.99,0.0323,18.37,18.311746177634255,3950.4685000000004,4065.0245339730286,771.3563000000004,895.9937404716443,124.63744047164391,0.22041533402405517,17.338253822365743,0.9468378195162227,-0.1,1.0,Increase,NO_MATERIAL_OPPORTUNITY,"MAX_MOVE,STOCKOUT_PROTECTION",Pending,v2.0.0-inventory-engine,Increase,NO_MATERIAL_OPPORTUNITY,124.63744047164391,61.15,5.22,14.404,3.905,0.598,4.25,4.61,0.3928,0.9561,15.4,97.71,0.0,0.0,9.15,0.645,STOCKOUT_RISK,EXPEDITE_ORDER,HIGH_STOCKOUT_RISK,36.0,True,1.0,0.93,HIGH,0.93,False,2026-06-19T14:14:09.834549
SKU-00002,Tools,Vancouver Island,Trade,199.91,211.99,0.0604,12.81,12.735061429065656,2560.8471,2699.7056723476285,343.94849999999997,495.775941433526,151.82744143352602,0.18364073777064954,12.764938570934344,1.00234605400493,-0.1,0.98,Increase,PRICE_LADDER_CONSTRAINT,"MAX_MOVE,TIER_LADDER,STOCKOUT_PROTECTION,MARGIN_FLOOR",Pending,v2.0.0-inventory-engine,Increase,PRICE_LADDER_CONSTRAINT,151.82744143352602,61.15,5.22,14.404,3.905,0.598,4.25,4.61,0.3928,0.9561,15.4,97.71,0.0,0.0,9.15,0.645,STOCKOUT_RISK,EXPEDITE_ORDER,HIGH_STOCKOUT_RISK,36.0,True,0.98,0.923,HIGH,0.923,False,2026-06-19T14:14:09.834632
SKU-00003,Suspension,Interior,Fleet,475.49,501.99,0.0557,15.28,15.197354230947502,7265.4872,7628.919850393337,2022.7663999999995,2414.5556402129387,391.78924021293915,0.31650032869180655,24.372645769052497,1.603742690910018,-0.1,0.42,Increase,PRICE_LADDER_CONSTRAINT,"MAX_MOVE,TIER_LADDER",Pending,v2.0.0-inventory-engine,Increase,PRICE_LADDER_CONSTRAINT,391.78924021293915,213.77,0.0,17.766,4.757,0.197,12.03,12.03,0.1851,0.0,13.91,69.75,71.64,24580.4,0.0,0.226,SLOW_MOVING,INTER_REGION_TRANSFER,REGIONAL_IMBALANCE_TRANSFER,0.0,True,0.42,0.735,HIGH,0.735,False,2026-06-19T14:14:09.834714
SKU-00003,Suspension,Interior,Retail,557.93,613.99,0.1005,15.29,15.1443042845634,8530.749699999998,9298.451387679082,3284.5977999999986,4102.289144602534,817.6913446025355,0.44117982377563153,85.8656957154366,5.669834288984775,-0.1,0.43,Increase,NO_MATERIAL_OPPORTUNITY,MAX_MOVE,Pending,v2.0.0-inventory-engine,Increase,NO_MATERIAL_OPPORTUNITY,817.6913446025355,213.77,0.0,17.766,4.757,0.197,12.03,12.03,0.1851,0.0,13.91,69.75,71.64,24580.4,0.0,0.226,SLOW_MOVING,INTER_REGION_TRANSFER,REGIONAL_IMBALANCE_TRANSFER,0.0,True,0.43,0.738,HIGH,0.738,False,2026-06-19T14:14:09.834797
SKU-00003,Suspension,Interior,Trade,501.01,516.99,0.0319,17.99,17.93360452976401,9013.169899999999,9271.494205842697,2840.620999999999,3118.2951556353664,277.67415563536724,0.3363314570881448,55.25639547023599,3.0811650484724447,-0.1,0.38,Increase,NO_MATERIAL_OPPORTUNITY,MAX_MOVE,Pending,v2.0.0-inventory-engine,Increase,NO_MATERIAL_OPPORTUNITY,277.67415563536724,213.77,0.0,17.766,4.757,0.197,12.03,12.03,0.1851,0.0,13.91,69.75,71.64,24580.4,0.0,0.226,SLOW_MOVING,INTER_REGION_TRANSFER,REGIONAL_IMBALANCE_TRANSFER,0.0,True,0.38,0.721,HIGH,0.721,False,2026-06-19T14:14:09.834882
SKU-00003,Suspension,Lower Mainland,Fleet,461.86,494.99,0.0717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.255,Manual Review,MAP_CONSTRAINT,"MAP,STOCKOUT_PROTECTION,MAP",Pending,v2.0.0-inventory-engine,Manual Review,MAP_CONSTRAINT,0.0,0.0,48.849999999999994,25.135,6.69,51.777,0.0,1.94,1.0,0.9945,19.57,98.57,0.0,0.0,71.29,0.226,STOCKOUT,EXPEDITE_ORDER,STOCKOUT_EXPEDITE,101.0,True,0.255,0.669,MEDIUM,0.669,False,2026-06-19T14:14:09.834964
SKU-00003,Suspension,Lower Mainland,Retail,613.25,631.99,0.0306,16.26,16.21112954505677,9971.445000000002,10245.27176118043,4392.4764000000005,4683.0711029760005,290.594702976,0.45709584012405263,0.0,0.0,-0.1,0.27,Test,NO_MATERIAL_OPPORTUNITY,MAX_MOVE,Pending,v2.0.0-inventory-engine,Test,NO_MATERIAL_OPPORTUNITY,290.594702976,0.0,48.849999999999994,25.135,6.69,51.777,0.0,1.94,1.0,0.9945,19.57,98.57,0.0,0.0,71.29,0.226,STOCKOUT,EXPEDITE_ORDER,STOCKOUT_EXPEDITE,101.0,True,0.27,0.675,MEDIUM,0.675,False,2026-06-19T14:14:09.835050
SKU-00003,Suspension,Lower Mainland,Trade,517.46,517.99,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.295,Hold,NO_MATERIAL_OPPORTUNITY,,Pending,v2.0.0-inventory-engine,Hold,NO_MATERIAL_OPPORTUNITY,0.0,0.0,48.849999999999994,25.135,6.69,51.777,0.0,1.94,1.0,0.9945,19.57,98.57,0.0,0.0,71.29,0.226,STOCKOUT,EXPEDITE_ORDER,STOCKOUT_EXPEDITE,101.0,True,0.295,0.683,MEDIUM,0.683,False,2026-06-19T14:14:09.835132
SKU-00003,Suspension,Northern BC,Fleet,477.41,494.99,0.0368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.52,Increase,MAP_CONSTRAINT,"MAP,STOCKOUT_PROTECTION,MAP",Pending,v2.0.0-inventory-engine,Increase,MAP_CONSTRAINT,0.0,58.55,51.28,13.661,3.437,0.603,4.29,8.04,0.207,0.0,10.05,52.99,0.54,185.28,23.71,0.076,SLOW_MOVING,INTER_REGION_TRANSFER,REGIONAL_IMBALANCE_TRANSFER,0.0,True,0.52,0.77,HIGH,0.77,False,2026-06-19T14:14:09.835218
SKU-00003,Suspension,Northern BC,Retail,544.41,598.99,0.1003,9.97,9.866348928023973,5427.7677,5909.844344397079,2006.9609999999998,2524.6013637027736,517.6403637027738,0.42718576270054587,48.68365107197602,4.934312725723391,-0.10938316332847078,0.48,Increase,NO_MATERIAL_OPPORTUNITY,MAX_MOVE,Pending,v2.0.0-inventory-engine,Increase,NO_MATERIAL_OPPORTUNITY,517.6403637027738,58.55,51.28,13.661,3.437,0.603,4.29,8.04,0.207,0.0,10.05,52.99,0.54,185.28,23.71,0.076,SLOW_MOVING,INTER_REGION_TRANSFER,REGIONAL_IMBALANCE_TRANSFER,0.0,True,0.48,0.756,HIGH,0.756,False,2026-06-19T14:14:09.835301
SKU-00003,Suspension,Northern BC,Trade,506.14,521.99,0.0313,5.31,5.293651769348305,2687.6033999999995,2763.2332870821215,865.6892999999995,946.9284285010247,81.2391285010251,0.3426885572520546,0.0,0.0,-0.1,0.55,Increase,PRICE_LADDER_CONSTRAINT,"MAX_MOVE,TIER_LADDER,STOCKOUT_PROTECTION",Pending,v2.0.0-inventory-engine,Increase,PRICE_LADDER_CONSTRAINT,81.2391285010251,58.55,51.28,13.661,3.437,0.603,4.29,8.04,0.207,0.0,10.05,52.99,0.54,185.28,23.71,0.076,SLOW_MOVING,INTER_REGION_TRANSFER,REGIONAL_IMBALANCE_TRANSFER,0.0,True,0.55,0.78,HIGH,0.78,False,2026-06-19T14:14:09.835387
SKU-00003,Suspension,Vancouver Island,Fleet,481.81,506.99,0.0523,23.08,22.962726128744062,11120.174799999999,11641.872520011952,3201.195999999999,3763.131557978576,561.935557978577,0.32324108956784153,36.64727387125593,1.5959461287735326,-0.1,0.435,Increase,PRICE_LADDER_CONSTRAINT,"MAX_MOVE,TIER_LADDER",Pending,v2.0.0-inventory-engine,Increase,PRICE_LADDER_CONSTRAINT,561.935557978577,131.04,17.9,15.677,3.393,0.315,8.36,9.5,0.2926,0.0,9.93,59.2,23.52,8069.95,0.0,0.076,SLOW_MOVING,INTER_REGION_TRANSFER,REGIONAL_IMBALANCE_TRANSFER,0.0,True,0.435,0.74,HIGH,0.74,False,2026-06-19T14:14:09.835472
SKU-00003,Suspension,Vancouver Island,Retail,562.02,618.99,0.1014,15.69,15.539239393172027,8818.093799999999,9618.633791979553,3434.6978999999983,4286.965363788299,852.267463788301,0.44569379149905497,40.08076060682797,2.57932576960231,-0.1,0.515,Increase,NO_MATERIAL_OPPORTUNITY,MAX_MOVE,Pending,v2.0.0-inventory-engine,Increase,NO_MATERIAL_OPPORTUNITY,852.267463788301,131.04,17.9,15.677,3.393,0.315,8.36,9.5,0.2926,0.0,9.93,59.2,23.52,8069.95,0.0,0.076,SLOW_MOVING,INTER_REGION_TRANSFER,REGIONAL_IMBALANCE_TRANSFER,0.0,True,0.515,0.768,HIGH,0.768,False,2026-06-19T14:14:09.835552
SKU-00003,Suspension,Vancouver Island,Trade,506.69,521.99,0.0302,15.44,15.394135715606893,7823.2936,8035.584902189642,2525.6751999999997,2753.7029968077604,228.02779680776075,0.34268855725205455,0.4158642843931073,0.027014461355663863,-0.1,0.475,Increase,NO_MATERIAL_OPPORTUNITY,"MAX_MOVE,STOCKOUT_PROTECTION",Pending,v2.0.0-inventory-engine,Increase,NO_MATERIAL_OPPORTUNITY,228.02779680776075,131.04,17.9,15.677,3.393,0.315,8.36,9.5,0.2926,0.0,9.93,59.2,23.52,8069.95,0.0,0.076,SLOW_MOVING,INTER_REGION_TRANSFER,REGIONAL_IMBALANCE_TRANSFER,0.0,True,0.475,0.754,HIGH,0.754,False,2026-06-19T14:14:09.835634
