sku_id,category,region,unit_cost,on_hand_inventory,on_order_inventory,available_inventory,average_weekly_demand,demand_std,demand_trend,on_hand_weeks_of_cover,available_weeks_of_cover,inventory_turns,sell_through_rate,stockout_probability,safety_stock,reorder_point,excess_units,excess_inventory_value,lost_sales_estimate,obsolescence_risk_score,lead_time_weeks,case_pack,minimum_order_quantity,lifecycle_stage,product_age_weeks,inventory_status,net_requirement,recommended_order_quantity,expected_stockout_weeks,replenishment_action,replenishment_reason
SKU-00003,Suspension,Northern BC,343.11,58.55,51.28,109.83,13.661,3.437,0.206,4.29,8.04,0.603,0.207,0.0,10.05,52.99,0.54,185.28,23.71,0.076,3.14,1,6,New,18,SLOW_MOVING,0.0,0.0,4.29,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00003,Suspension,Vancouver Island,343.11,131.04,17.9,148.94,15.677,3.393,0.2594,8.36,9.5,0.315,0.2926,0.0,9.93,59.2,23.52,8069.95,0.0,0.076,3.14,1,6,New,18,SLOW_MOVING,0.0,0.0,8.36,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00004,Tools,Interior,104.02,212.35000000000002,0.0,212.35000000000002,4.581,0.782,-0.068,46.35,46.35,0.064,0.0602,0.0,1.62,8.82,175.7,18276.31,0.0,0.553,1.57,12,1,Mature,89,SLOW_MOVING,0.0,0.0,46.35,NO_ACTION,SUFFICIENT_INVENTORY
SKU-00004,Tools,Lower Mainland,104.02,250.38,73.14,323.52,6.377,1.484,0.7698,39.26,50.73,0.072,0.063,0.0,3.07,13.09,272.5,28345.45,0.0,0.553,1.57,12,1,Mature,89,SLOW_MOVING,0.0,0.0,39.26,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00004,Tools,Northern BC,104.02,220.80999999999997,0.0,220.80999999999997,3.191,0.65,0.1187,69.19,69.19,0.047,0.044,0.0,1.34,6.36,195.28,20313.03,0.0,0.553,1.57,12,1,Mature,89,SLOW_MOVING,0.0,0.0,69.2,NO_ACTION,SUFFICIENT_INVENTORY
SKU-00004,Tools,Vancouver Island,104.02,134.85999999999999,0.0,134.85999999999999,4.274,0.874,0.3661,31.56,31.56,0.09,0.1024,0.0,1.81,8.52,100.67,10471.69,0.0,0.553,1.57,12,1,Mature,89,SLOW_MOVING,0.0,0.0,31.55,NO_ACTION,SUFFICIENT_INVENTORY
SKU-00005,Suspension,Interior,232.16,123.57,70.86,194.43,38.666,9.845,0.0,3.2,5.03,0.626,0.3629,0.0,15.04,48.18,0.0,0.0,39.72,0.671,0.86,12,1,Decline,132,OBSOLETE_RISK,0.0,0.0,3.2,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00005,Suspension,Lower Mainland,232.16,101.67,89.07,190.74,48.575,9.696,-0.3372,2.09,3.93,0.726,0.441,0.0,14.81,56.45,0.0,0.0,44.35,0.821,0.86,12,1,Decline,132,OBSOLETE_RISK,0.0,0.0,2.09,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00005,Suspension,Northern BC,232.16,86.78,71.47,158.25,27.116,5.474,-0.2022,3.2,5.84,0.767,0.3718,0.0,8.36,31.6,0.0,0.0,33.82,0.821,0.86,12,1,Decline,132,OBSOLETE_RISK,0.0,0.0,3.2,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00005,Suspension,Vancouver Island,232.16,0.0,52.760000000000005,52.760000000000005,33.511,11.896,-1.0,0.0,1.57,63.213,0.0,0.0145,18.17,46.9,0.0,0.0,116.55,0.971,0.86,12,1,Decline,132,STOCKOUT,0.0,144.0,0.0,EXPEDITE_ORDER,STOCKOUT_EXPEDITE
SKU-00006,Fluids,Interior,221.18,45.52,72.49000000000001,118.01000000000002,41.004,19.054,-0.4422,1.11,2.88,1.701,0.5238,0.9283,65.08,240.81,0.0,0.0,70.58,0.353,4.29,1,6,Growth,63,STOCKOUT_RISK,122.79999999999998,123.0,1.11,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00006,Fluids,Lower Mainland,221.18,85.44,65.28999999999999,150.73,47.512,8.843,0.2482,1.8,3.17,0.892,0.5167,0.9981,30.21,233.83,0.0,0.0,58.45,0.203,4.29,1,6,Growth,63,STOCKOUT_RISK,83.10000000000002,84.0,1.8,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00006,Fluids,Northern BC,221.18,117.86,88.75999999999999,206.62,24.178,6.202,0.3609,4.87,8.55,0.489,0.3655,0.0,21.18,124.8,13.2,2919.58,0.0,0.203,4.29,1,6,Growth,63,SLOW_MOVING,0.0,0.0,4.87,NO_ACTION,SUFFICIENT_INVENTORY
SKU-00006,Fluids,Vancouver Island,221.18,7.77,41.1,48.870000000000005,27.496,7.197,-0.5833,0.28,1.78,7.973,0.711,1.0,24.58,142.42,0.0,0.0,57.29,0.353,4.29,1,6,Growth,63,STOCKOUT_RISK,93.54999999999998,94.0,0.28,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00007,Suspension,Interior,87.65,43.129999999999995,63.650000000000006,106.78,35.63,4.612,-0.1548,1.21,3.0,1.623,0.687,1.0,18.64,232.42,0.0,0.0,3.13,0.789,6.0,1,1,Decline,144,STOCKOUT_RISK,125.63999999999999,126.0,1.21,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00007,Suspension,Lower Mainland,87.65,108.35999999999999,107.83000000000001,216.19,45.461,13.491,0.4441,2.38,4.76,0.708,0.6026,0.9566,54.52,327.29,0.0,0.0,4.96,0.639,6.0,1,1,Decline,144,STOCKOUT_RISK,111.10000000000002,112.0,2.38,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00007,Suspension,Northern BC,87.65,127.32,21.77,149.09,21.635,2.649,-0.3698,5.88,6.89,0.427,0.2416,0.0015,10.71,140.52,0.0,0.0,23.81,0.789,6.0,1,1,Decline,144,STOCKOUT_RISK,0.0,0.0,5.88,REPLENISH,BELOW_REORDER_POINT
SKU-00007,Suspension,Vancouver Island,87.65,88.11,18.36,106.47,29.541,9.883,-0.4337,2.98,3.6,0.616,0.3723,0.9983,39.94,217.19,0.0,0.0,36.01,0.789,6.0,1,1,Decline,144,STOCKOUT_RISK,110.71999999999998,111.0,2.98,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00008,Suspension,Interior,184.1,102.88,9.92,112.8,23.081,2.582,0.3341,4.46,4.89,0.447,0.3025,1.0,10.56,152.34,0.0,0.0,21.79,0.14,6.14,1,12,Mature,63,STOCKOUT_RISK,39.540000000000006,40.0,4.46,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00008,Suspension,Lower Mainland,184.1,123.46000000000001,93.09,216.55,32.156,4.918,-0.2143,3.84,6.73,0.472,0.3872,0.0593,20.11,217.64,0.0,0.0,16.71,0.29,6.14,1,12,Mature,63,STOCKOUT_RISK,1.089999999999975,12.0,3.84,REPLENISH,BELOW_REORDER_POINT
SKU-00008,Suspension,Northern BC,184.1,128.9,10.87,139.77,18.82,4.887,-0.2425,6.85,7.43,0.321,0.2284,0.023,19.98,135.59,0.0,0.0,12.7,0.29,6.14,1,12,Mature,63,HEALTHY,0.0,0.0,6.85,NO_ACTION,SUFFICIENT_INVENTORY
SKU-00008,Suspension,Vancouver Island,184.1,59.8,27.869999999999997,87.66999999999999,20.741,3.588,-0.5294,2.88,4.23,0.83,0.2206,1.0,14.67,142.08,0.0,0.0,48.36,0.29,6.14,1,12,Mature,63,STOCKOUT_RISK,54.41000000000002,55.0,2.88,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00009,Tools,Interior,144.9,0.0,37.58,37.58,17.453,2.061,-1.0,0.0,2.15,37.085,0.0,1.0,7.04,81.84,0.0,0.0,52.26,0.479,4.29,1,1,Mature,94,STOCKOUT,44.260000000000005,70.0,0.0,EXPEDITE_ORDER,STOCKOUT_EXPEDITE
SKU-00009,Tools,Lower Mainland,144.9,203.06,142.17000000000002,345.23,28.06,6.59,-0.0047,7.24,12.3,0.241,0.2859,0.0,22.51,142.77,120.75,17496.68,0.0,0.179,4.29,1,1,Mature,94,SLOW_MOVING,0.0,0.0,7.24,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00009,Tools,Northern BC,144.9,37.91,44.4,82.31,15.877,3.546,-0.1826,2.39,5.18,0.948,0.4337,0.026,12.11,80.16,0.0,0.0,16.22,0.329,4.29,1,1,Mature,94,STOCKOUT_RISK,0.0,0.0,2.39,REPLENISH,BELOW_REORDER_POINT
SKU-00009,Tools,Vancouver Island,144.9,52.86,17.29,70.15,17.052,4.081,-0.5596,3.1,4.11,0.708,0.2675,0.6357,13.94,87.02,0.0,0.0,32.68,0.329,4.29,1,1,Mature,94,STOCKOUT_RISK,16.869999999999997,17.0,3.1,REPLENISH,BELOW_REORDER_POINT
SKU-00010,Tools,Interior,155.79,2.09,43.34,45.43000000000001,24.151,3.459,-0.1005,0.09,1.88,27.219,0.9615,1.0,11.21,104.36,0.0,0.0,23.39,0.167,3.86,1,1,New,20,STOCKOUT_RISK,58.92999999999999,59.0,0.09,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00010,Tools,Lower Mainland,155.79,68.8,39.96,108.75999999999999,34.83,3.991,0.1156,1.98,3.12,0.795,0.3848,0.9995,12.93,147.28,0.0,0.0,58.19,0.017,3.86,1,1,New,20,STOCKOUT_RISK,38.52,39.0,1.98,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00010,Tools,Northern BC,155.79,129.72,67.82,197.54,21.099,2.506,0.0082,6.15,9.36,0.329,0.2737,0.0,8.12,89.5,28.75,4478.96,13.23,0.017,3.86,1,1,New,20,SLOW_MOVING,0.0,0.0,6.15,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00010,Tools,Vancouver Island,155.79,76.78999999999999,25.380000000000003,102.16999999999999,19.814,3.432,0.314,3.88,5.16,0.638,0.4113,0.0001,11.12,87.55,0.0,0.0,0.0,0.017,3.86,1,1,New,20,HEALTHY,0.0,0.0,3.88,NO_ACTION,SUFFICIENT_INVENTORY
SKU-00011,Filters,Interior,392.45,0.0,31.019999999999996,31.019999999999996,63.616,10.374,-0.7505,0.0,0.49,68.385,1.0,1.0,32.35,259.55,0.0,0.0,180.22,0.166,3.57,6,1,Growth,35,STOCKOUT,228.53000000000003,258.0,0.0,EXPEDITE_ORDER,STOCKOUT_EXPEDITE
SKU-00011,Filters,Lower Mainland,392.45,0.0,72.06,72.06,94.015,17.204,0.0,0.0,0.77,71.382,1.0,1.0,53.65,389.41,0.0,0.0,216.07,0.016,3.57,6,1,Growth,35,STOCKOUT,317.35,378.0,0.0,EXPEDITE_ORDER,STOCKOUT_EXPEDITE
SKU-00011,Filters,Northern BC,392.45,40.28,36.28,76.56,51.744,13.355,-0.6678,0.78,1.48,2.132,0.6112,1.0,41.64,226.44,0.0,0.0,93.14,0.166,3.57,6,1,Growth,35,STOCKOUT_RISK,149.88,150.0,0.78,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00011,Filters,Vancouver Island,392.45,88.2,119.97,208.17000000000002,63.684,8.659,0.1313,1.38,3.27,0.866,0.5655,0.8805,27.0,254.44,0.0,0.0,82.06,0.016,3.57,6,1,Growth,35,STOCKOUT_RISK,46.27000000000001,48.0,1.38,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00012,Batteries,Interior,279.25,105.80000000000001,101.03,206.83,44.112,7.272,-0.0716,2.4,4.69,0.544,0.4203,0.0,12.0,56.11,0.0,0.0,51.79,0.521,1.0,6,24,Decline,179,OBSOLETE_RISK,0.0,0.0,2.4,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00012,Batteries,Lower Mainland,279.25,31.3,20.919999999999998,52.22,52.834,17.117,0.3326,0.59,0.99,2.096,0.6922,0.5143,28.24,81.08,0.0,0.0,81.79,0.521,1.0,6,24,Decline,179,STOCKOUT_RISK,28.860000000000003,30.0,0.59,REPLENISH,BELOW_REORDER_POINT
SKU-00012,Batteries,Northern BC,279.25,128.85,115.94999999999999,244.79999999999998,30.962,4.235,0.9662,4.16,7.91,0.548,0.3275,0.0,6.99,37.95,0.0,0.0,27.57,0.521,1.0,6,24,Decline,179,OBSOLETE_RISK,0.0,0.0,4.16,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00012,Batteries,Vancouver Island,279.25,2.08,26.21,28.29,37.721,13.17,0.3649,0.06,0.75,26.077,0.935,0.763,21.73,59.45,0.0,0.0,61.56,0.521,1.0,6,24,Decline,179,STOCKOUT_RISK,31.160000000000004,36.0,0.06,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00013,Filters,Interior,415.75,0.0,80.67,80.67,146.868,35.768,-0.4439,0.0,0.55,94.21,1.0,0.9987,70.54,280.35,0.0,0.0,402.79,0.286,1.43,1,24,Mature,125,STOCKOUT,199.68,588.0,0.0,EXPEDITE_ORDER,STOCKOUT_EXPEDITE
SKU-00013,Filters,Lower Mainland,415.75,0.0,96.72,96.72,189.434,43.804,0.0,0.0,0.51,77.063,1.0,0.9996,86.39,357.01,0.0,0.0,559.19,0.136,1.43,1,24,Mature,125,STOCKOUT,260.28999999999996,758.0,0.0,EXPEDITE_ORDER,STOCKOUT_EXPEDITE
SKU-00013,Filters,Northern BC,415.75,0.0,35.26,35.26,118.384,40.567,0.0,0.0,0.3,87.791,1.0,0.9971,80.0,249.12,0.0,0.0,278.43,0.136,1.43,1,24,Mature,125,STOCKOUT,213.86,474.0,0.0,EXPEDITE_ORDER,STOCKOUT_EXPEDITE
SKU-00013,Filters,Vancouver Island,415.75,2.74,95.02,97.75999999999999,120.765,32.995,0.132,0.02,0.81,34.059,0.9712,0.971,65.07,237.59,0.0,0.0,256.16,0.136,1.43,1,24,Mature,125,STOCKOUT_RISK,139.82999999999998,140.0,0.02,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00014,Engine Components,Interior,716.89,92.88,66.26,159.14,18.021,6.059,0.0908,5.15,8.83,0.545,0.3468,0.0,9.26,24.7,14.97,10731.84,12.03,0.782,0.86,12,12,Decline,178,OBSOLETE_RISK,0.0,0.0,5.15,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00014,Engine Components,Lower Mainland,716.89,29.459999999999997,55.09,84.55,24.455,3.222,-0.1483,1.2,3.46,1.851,0.6465,0.0,4.92,25.88,0.0,0.0,19.32,0.932,0.86,12,12,Decline,178,OBSOLETE_RISK,0.0,0.0,1.2,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00014,Engine Components,Northern BC,716.89,137.96,0.4,138.36,13.331,3.426,-0.2993,10.35,10.38,0.26,0.1871,0.0,5.23,16.66,31.71,22732.58,12.02,1.0,0.86,12,12,Decline,178,OBSOLETE_RISK,0.0,0.0,10.35,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00014,Engine Components,Vancouver Island,716.89,124.35,1.95,126.3,15.517,2.476,0.1509,8.01,8.14,0.353,0.2052,0.0,3.78,17.08,2.16,1548.48,18.34,0.782,0.86,12,12,Decline,178,OBSOLETE_RISK,0.0,0.0,8.01,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00015,Engine Components,Interior,139.56,53.73,75.61,129.34,84.86,15.289,-0.0176,0.63,1.52,1.591,0.5512,1.0,45.73,324.55,0.0,0.0,190.56,0.014,3.29,6,1,Mature,58,STOCKOUT_RISK,195.20999999999998,198.0,0.63,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00015,Engine Components,Lower Mainland,139.56,0.0,104.53,104.53,132.339,19.362,0.3756,0.0,0.79,88.166,1.0,1.0,57.91,492.74,0.0,0.0,236.59,0.014,3.29,6,1,Mature,58,STOCKOUT,388.21000000000004,534.0,0.0,EXPEDITE_ORDER,STOCKOUT_EXPEDITE
SKU-00015,Engine Components,Northern BC,139.56,79.57,111.1,190.67,67.686,13.147,0.0,1.18,2.82,1.066,0.3848,0.9085,39.32,261.72,0.0,0.0,159.23,0.014,3.29,6,1,Mature,58,STOCKOUT_RISK,71.05000000000004,72.0,1.18,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00015,Engine Components,Vancouver Island,139.56,0.0,46.46,46.46,76.669,13.326,-0.4702,0.0,0.61,89.869,1.0,1.0,39.86,291.77,0.0,0.0,141.96,0.164,3.29,6,1,Mature,58,STOCKOUT,245.30999999999997,312.0,0.0,EXPEDITE_ORDER,STOCKOUT_EXPEDITE
SKU-00016,Filters,Interior,65.31,0.0,43.39,43.39,108.648,28.187,-0.958,0.0,0.4,87.974,1.0,0.9963,49.72,173.89,0.0,0.0,310.71,0.275,1.14,1,1,Mature,29,STOCKOUT,130.5,435.0,0.0,EXPEDITE_ORDER,STOCKOUT_EXPEDITE
SKU-00016,Filters,Lower Mainland,65.31,0.0,54.82000000000001,54.82000000000001,154.194,35.847,-1.0,0.0,0.36,107.025,0.0,0.9992,63.23,239.45,0.0,0.0,506.93,0.425,1.14,1,1,Mature,29,STOCKOUT,184.63,617.0,0.0,EXPEDITE_ORDER,STOCKOUT_EXPEDITE
SKU-00016,Filters,Northern BC,65.31,96.6,141.06,237.66,97.757,25.052,2.183,0.99,2.43,0.881,0.5933,0.0,44.19,155.91,0.0,0.0,89.37,0.125,1.14,1,1,Mature,29,STOCKOUT_RISK,0.0,0.0,0.99,NO_ACTION,ON_ORDER_COVERS_REQUIREMENT
SKU-00016,Filters,Vancouver Island,65.31,0.0,63.379999999999995,63.379999999999995,100.457,26.129,-0.4145,0.0,0.63,88.624,1.0,0.9672,46.09,160.9,0.0,0.0,227.94,0.275,1.14,1,1,Mature,29,STOCKOUT,97.52000000000001,402.0,0.0,EXPEDITE_ORDER,STOCKOUT_EXPEDITE
SKU-00017,Engine Components,Interior,765.39,33.58,16.15,49.73,16.259,2.24,-0.6328,2.07,3.06,1.188,0.3268,1.0,8.14,87.12,0.0,0.0,31.12,0.333,4.86,1,1,Growth,33,STOCKOUT_RISK,37.39000000000001,38.0,2.07,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00017,Engine Components,Lower Mainland,765.39,211.76,0.4,212.16,24.997,4.815,0.2481,8.47,8.49,0.239,0.2514,0.0,17.51,138.92,12.18,9322.45,0.0,0.183,4.86,1,1,Growth,33,SLOW_MOVING,0.0,0.0,8.47,NO_ACTION,SUFFICIENT_INVENTORY
SKU-00017,Engine Components,Northern BC,765.39,172.64,47.16,219.79999999999998,12.879,2.458,-0.0774,13.41,17.07,0.204,0.1752,0.0,8.94,71.49,116.77,89374.59,0.0,0.333,4.86,1,1,Growth,33,SLOW_MOVING,0.0,0.0,13.4,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00017,Engine Components,Vancouver Island,765.39,228.72,62.05,290.77,14.625,1.843,0.069,15.64,19.88,0.159,0.1639,0.0,6.7,77.74,173.77,133001.82,0.0,0.333,4.86,1,1,Growth,33,SLOW_MOVING,0.0,0.0,15.64,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00018,Engine Components,Interior,33.91,12.87,27.560000000000002,40.43,30.843,6.763,-0.0395,0.42,1.31,4.727,0.7845,1.0,22.32,145.69,0.0,0.0,38.21,0.63,4.0,24,24,Decline,161,STOCKOUT_RISK,105.25999999999999,120.0,0.42,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00018,Engine Components,Lower Mainland,33.91,163.98000000000002,18.39,182.37,39.983,11.898,-0.1894,4.1,4.56,0.454,0.3194,0.1728,39.26,199.19,0.0,0.0,36.11,0.78,4.0,24,24,Decline,161,OBSOLETE_RISK,16.81999999999998,24.0,4.1,NO_ACTION,SUFFICIENT_INVENTORY
SKU-00018,Engine Components,Northern BC,33.91,123.66,21.73,145.39,22.754,5.789,1.2417,5.43,6.39,0.414,0.2851,0.0,19.1,110.12,0.0,0.0,20.4,0.63,4.0,24,24,Decline,161,OBSOLETE_RISK,0.0,0.0,5.43,NO_ACTION,SUFFICIENT_INVENTORY
SKU-00018,Engine Components,Vancouver Island,33.91,149.53,121.46,270.99,26.14,4.356,0.4878,5.72,10.37,0.453,0.2494,0.0,14.37,118.93,61.87,2098.01,26.91,0.63,4.0,24,24,Decline,161,OBSOLETE_RISK,0.0,0.0,5.72,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00019,Brakes,Interior,327.71,147.66,29.27,176.93,26.4,4.354,0.2598,5.59,6.7,0.484,0.2776,0.0857,17.81,179.98,0.0,0.0,31.01,0.682,6.14,1,1,Decline,198,STOCKOUT_RISK,3.0499999999999936,4.0,5.59,REPLENISH,BELOW_REORDER_POINT
SKU-00019,Brakes,Lower Mainland,327.71,32.39,42.95,75.34,42.859,8.404,1.5051,0.76,1.76,2.015,0.7013,1.0,34.37,297.64,0.0,0.0,35.59,0.682,6.14,1,1,Decline,198,STOCKOUT_RISK,222.3,223.0,0.76,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00019,Brakes,Northern BC,327.71,96.06,12.98,109.04,21.846,4.459,0.2882,4.4,4.99,0.563,0.4226,0.9886,18.24,152.43,0.0,0.0,0.0,0.682,6.14,1,1,Decline,198,STOCKOUT_RISK,43.39,44.0,4.4,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00019,Brakes,Vancouver Island,327.71,43.980000000000004,36.629999999999995,80.61,25.024,4.669,0.2467,1.76,3.22,1.493,0.6466,1.0,19.09,172.81,0.0,0.0,3.33,0.682,6.14,1,1,Decline,198,STOCKOUT_RISK,92.19999999999999,93.0,1.76,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00020,Filters,Interior,76.22,274.92,0.0,274.92,9.67,4.994,-0.2553,28.43,28.43,0.113,0.0823,0.0,6.96,13.87,197.56,15058.02,0.0,1.0,0.71,1,1,Decline,165,OBSOLETE_RISK,0.0,0.0,28.43,NO_ACTION,SUFFICIENT_INVENTORY
SKU-00020,Filters,Lower Mainland,76.22,144.43,11.87,156.3,13.036,4.303,0.1804,11.08,11.99,0.298,0.198,0.0,6.0,15.31,52.01,3964.2,6.37,0.831,0.71,1,1,Decline,165,OBSOLETE_RISK,0.0,0.0,11.08,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00020,Filters,Northern BC,76.22,268.96,0.0,268.96,6.891,2.274,-0.0105,39.03,39.03,0.092,0.0691,0.0,3.17,8.09,213.83,16298.12,0.0,1.0,0.71,1,1,Decline,165,OBSOLETE_RISK,0.0,0.0,39.03,NO_ACTION,SUFFICIENT_INVENTORY
SKU-00020,Filters,Vancouver Island,76.22,223.08999999999997,78.49,301.58,7.884,2.119,0.5761,28.3,38.25,0.122,0.0845,0.0,2.95,8.59,238.51,18179.23,3.1,1.0,0.71,1,1,Decline,165,OBSOLETE_RISK,0.0,0.0,28.3,STOP_OR_DELAY_ORDER,EXCESS_ON_ORDER
SKU-00021,Fluids,Interior,162.41,112.12,90.86000000000001,202.98000000000002,29.933,22.02,0.6551,3.75,6.78,0.45,0.3342,0.039,73.95,197.96,0.0,0.0,55.34,0.024,4.14,6,1,Mature,100,STOCKOUT_RISK,0.0,0.0,3.75,REPLENISH,BELOW_REORDER_POINT
SKU-00021,Fluids,Lower Mainland,162.41,107.91000000000001,1.34,109.25000000000001,31.371,10.375,-0.2237,3.44,3.48,0.592,0.3615,0.8367,34.85,164.81,0.0,0.0,22.94,0.174,4.14,6,1,Mature,100,STOCKOUT_RISK,55.55999999999999,60.0,3.44,EXPEDITE_ORDER,IMMINENT_STOCKOUT
SKU-00021,Fluids,Northern BC,162.41,78.33,8.89,87.22,17.225,5.015,0.0663,4.55,5.06,0.662,0.4196,0.0601,16.84,88.2,0.0,0.0,0.0,0.024,4.14,6,1,Mature,100,HEALTHY,0.980000000000004,6.0,4.55,NO_ACTION,SUFFICIENT_INVENTORY
