sku_id,product_name,category,subcategory,brand_tier,private_label_flag,unit_cost,regular_retail_price,minimum_margin_pct,minimum_advertised_price,supplier,lead_time_days,case_pack,product_age_weeks,lifecycle_stage,base_demand,true_price_elasticity,seasonality_strength,inventory_holding_cost,obsolescence_risk,minimum_order_quantity
SKU-00033,Shocks - Premium #33,Suspension,Shocks,Premium,False,66.84,97.75,0.175,91.09,AutoParts Co,5,1,91,Mature,59.3,-0.704,0.0,2.4227,0.216,6
SKU-00034,Gaskets - Premium #34,Engine Components,Gaskets,Premium,False,53.03,91.23,0.171,79.6,Pacific Supply,44,6,123,Mature,16.32,-1.527,0.0,3.5554,0.195,6
SKU-00035,Marine Battery - Premium #35,Batteries,Marine Battery,Premium,False,473.28,640.75,0.158,602.93,ValueLine Parts,32,1,90,Mature,13.58,-1.086,0.403,22.9305,0.045,24
SKU-00036,Fuel Filter - Mid-Tier #36,Filters,Fuel Filter,Mid-Tier,False,216.81,330.99,0.163,299.06,ValueLine Parts,4,1,58,Growth,44.87,-1.887,0.0,10.504,0.075,6
SKU-00037,Calipers - Mid-Tier #37,Brakes,Calipers,Mid-Tier,False,352.49,546.45,0.165,486.95,Northern Dist,25,1,71,Growth,50.83,-0.649,0.0,17.8939,0.224,6
SKU-00038,Spark Plugs - Mid-Tier #38,Engine Components,Spark Plugs,Mid-Tier,False,643.9,875.94,0.184,800.82,ValueLine Parts,38,12,184,Decline,7.62,-1.507,0.0,23.7191,0.107,1
SKU-00039,Shocks - Mid-Tier #39,Suspension,Shocks,Mid-Tier,False,372.63,456.63,0.183,438.98,AutoParts Co,31,1,142,Decline,48.87,-1.039,0.0,15.6114,0.288,1
SKU-00040,Belts - Mid-Tier #40,Engine Components,Belts,Mid-Tier,False,570.22,797.2,0.164,678.73,Pacific Supply,9,12,155,Decline,42.96,-1.433,0.0,40.017,0.297,1
SKU-00041,Gaskets - Economy #41,Engine Components,Gaskets,Economy,False,130.44,186.62,0.139,160.57,Pacific Supply,41,1,12,New,38.61,-0.996,0.0,4.0248,0.273,24
SKU-00042,Calipers - Mid-Tier #42,Brakes,Calipers,Mid-Tier,False,247.65,374.29,0.149,322.24,Northern Dist,30,1,49,Mature,51.73,-1.029,0.0,16.289,0.027,12
SKU-00043,Sockets - Mid-Tier #43,Tools,Sockets,Mid-Tier,False,255.68,370.71,0.177,356.16,ValueLine Parts,19,1,88,Mature,21.41,-0.548,0.0,12.7659,0.164,6
SKU-00044,Brake Pads - Private Label #44,Brakes,Brake Pads,Private Label,True,317.26,410.92,0.134,359.52,Northern Dist,21,1,82,Mature,74.34,-1.183,0.0,17.7376,0.012,1
SKU-00045,Struts - Economy #45,Suspension,Struts,Economy,False,318.72,574.36,0.162,523.86,ValueLine Parts,14,24,131,Decline,58.21,-0.767,0.0,21.3288,0.261,1
SKU-00046,Calipers - Mid-Tier #46,Brakes,Calipers,Mid-Tier,False,278.79,433.31,0.197,423.78,ValueLine Parts,34,6,147,Decline,59.23,-0.998,0.0,7.6478,0.022,1
SKU-00047,Power Steering - Mid-Tier #47,Fluids,Power Steering,Mid-Tier,False,492.84,709.68,0.198,641.2,AutoParts Co,14,24,131,Decline,45.33,-1.53,0.521,34.1809,0.021,1
SKU-00048,Fuses - Premium #48,Electrical,Fuses,Premium,False,339.28,540.75,0.177,520.48,Pacific Supply,5,24,13,New,64.47,-0.687,0.0,19.4454,0.259,1
SKU-00049,Shocks - Mid-Tier #49,Suspension,Shocks,Mid-Tier,False,340.26,419.04,0.14,404.97,AutoParts Co,35,24,53,Mature,29.15,-0.83,0.0,12.9083,0.181,6
SKU-00050,Shocks - Private Label #50,Suspension,Shocks,Private Label,True,97.86,122.77,0.134,115.81,ValueLine Parts,20,6,57,Mature,25.12,-0.735,0.0,5.3326,0.299,1
SKU-00051,Battery Charger - Mid-Tier #51,Batteries,Battery Charger,Mid-Tier,False,199.22,347.76,0.15,301.67,AutoParts Co,15,1,20,New,17.75,-1.398,0.207,11.5692,0.11,6
SKU-00052,Bushings - Economy #52,Suspension,Bushings,Economy,False,272.72,366.97,0.19,323.14,Pacific Supply,25,24,192,Decline,72.91,-1.072,0.0,15.1209,0.199,12
SKU-00053,Rotors - Premium #53,Brakes,Rotors,Premium,False,164.63,211.6,0.187,187.65,ValueLine Parts,39,1,53,Mature,36.19,-0.807,0.0,13.1181,0.206,1
SKU-00054,Battery Charger - Economy #54,Batteries,Battery Charger,Economy,False,96.66,144.65,0.11,135.23,AutoParts Co,4,24,180,Decline,41.99,-0.749,0.373,2.5306,0.022,24
SKU-00055,Brake Pads - Premium #55,Brakes,Brake Pads,Premium,False,230.28,338.32,0.131,289.81,Pacific Supply,40,12,128,Mature,6.72,-1.122,0.0,7.466,0.098,6
SKU-00056,Shocks - Premium #56,Suspension,Shocks,Premium,False,60.47,103.01,0.1,94.36,Pacific Supply,21,6,85,Mature,27.98,-0.957,0.0,4.2615,0.086,12
SKU-00057,Air Filter - Premium #57,Filters,Air Filter,Premium,False,242.53,381.62,0.123,340.78,AutoParts Co,11,1,98,Mature,88.27,-1.104,0.0,5.54,0.05,1
SKU-00058,Spark Plugs - Premium #58,Engine Components,Spark Plugs,Premium,False,106.29,162.88,0.124,150.5,Pacific Supply,3,1,5,New,68.26,-1.128,0.0,6.0742,0.057,24
SKU-00059,Pistons - Private Label #59,Engine Components,Pistons,Private Label,True,736.66,1056.45,0.16,1033.21,ValueLine Parts,26,12,147,Decline,26.84,-1.311,0.0,41.2854,0.073,6
SKU-00060,Control Arms - Premium #60,Suspension,Control Arms,Premium,False,19.77,27.21,0.102,23.71,ValueLine Parts,16,1,66,Mature,59.61,-0.792,0.0,1.0998,0.047,24
SKU-00061,Car Battery - Economy #61,Batteries,Car Battery,Economy,False,90.61,132.66,0.199,112.83,ValueLine Parts,27,24,112,Mature,47.6,-1.782,0.251,6.5985,0.165,1
SKU-00062,Motor Oil - Premium #62,Fluids,Motor Oil,Premium,False,299.31,404.25,0.166,387.56,ValueLine Parts,13,6,57,Growth,20.04,-2.771,0.55,15.927,0.125,12
SKU-00063,Battery Charger - Economy #63,Batteries,Battery Charger,Economy,False,285.63,464.27,0.198,419.93,AutoParts Co,20,1,188,Decline,64.09,-1.234,0.408,7.3248,0.268,12
SKU-00064,Shocks - Premium #64,Suspension,Shocks,Premium,False,480.97,623.16,0.12,599.27,Pacific Supply,22,24,137,Decline,18.55,-0.661,0.0,34.9675,0.12,12
SKU-00065,Control Arms - Economy #65,Suspension,Control Arms,Economy,False,366.91,602.87,0.157,520.64,ValueLine Parts,24,1,141,Decline,64.25,-0.667,0.0,11.8379,0.226,6
SKU-00066,Brake Pads - Mid-Tier #66,Brakes,Brake Pads,Mid-Tier,False,361.06,622.14,0.139,554.63,Pacific Supply,20,1,195,Decline,47.32,-0.774,0.0,27.4849,0.146,12
SKU-00067,Brake Pads - Mid-Tier #67,Brakes,Brake Pads,Mid-Tier,False,200.08,255.01,0.116,239.45,ValueLine Parts,11,1,8,New,21.0,-0.962,0.0,13.0473,0.266,1
SKU-00068,Starter - Premium #68,Electrical,Starter,Premium,False,263.4,379.8,0.126,325.06,Northern Dist,23,24,43,Mature,52.9,-0.97,0.0,9.2575,0.095,1
SKU-00069,Fuses - Private Label #69,Electrical,Fuses,Private Label,True,451.31,814.39,0.198,793.13,AutoParts Co,12,6,84,Mature,25.75,-1.421,0.0,11.6522,0.255,12
SKU-00070,Coolant - Premium #70,Fluids,Coolant,Premium,False,130.36,167.83,0.185,155.4,ValueLine Parts,20,1,110,Mature,25.09,-1.624,0.349,8.6482,0.07,12
SKU-00071,Power Steering - Premium #71,Fluids,Power Steering,Premium,False,448.58,565.75,0.126,543.14,Pacific Supply,39,12,131,Decline,37.09,-2.513,0.298,31.8851,0.264,12
SKU-00072,Wiring Harness - Premium #72,Electrical,Wiring Harness,Premium,False,126.17,162.49,0.194,156.87,Pacific Supply,23,1,108,Mature,42.38,-0.645,0.0,6.5853,0.136,6
SKU-00073,Alternator - Premium #73,Electrical,Alternator,Premium,False,476.36,690.53,0.195,601.63,AutoParts Co,39,1,192,Decline,21.75,-0.89,0.0,12.9271,0.276,1
SKU-00074,Fuses - Mid-Tier #74,Electrical,Fuses,Mid-Tier,False,203.22,300.45,0.119,294.0,Pacific Supply,22,24,123,Mature,59.85,-0.6,0.0,15.2903,0.109,1
SKU-00075,Motor Oil - Mid-Tier #75,Fluids,Motor Oil,Mid-Tier,False,398.26,610.95,0.175,582.34,ValueLine Parts,26,24,45,Growth,51.84,-2.461,0.201,14.6774,0.028,1
SKU-00076,Bushings - Premium #76,Suspension,Bushings,Premium,False,317.98,445.41,0.192,397.08,Northern Dist,28,1,29,Growth,53.48,-0.792,0.0,24.4856,0.109,6
SKU-00077,Motor Oil - Economy #77,Fluids,Motor Oil,Economy,False,423.77,523.73,0.145,505.94,ValueLine Parts,18,24,58,Growth,53.48,-1.601,0.321,17.7899,0.224,1
SKU-00078,Bushings - Economy #78,Suspension,Bushings,Economy,False,256.92,446.75,0.142,417.32,Pacific Supply,21,1,114,Mature,33.84,-1.06,0.0,6.5523,0.204,1
SKU-00079,Cabin Filter - Economy #79,Filters,Cabin Filter,Economy,False,14.78,20.2,0.12,19.21,AutoParts Co,39,1,151,Decline,24.23,-1.209,0.0,0.4186,0.092,1
SKU-00080,Diagnostic Tools - Premium #80,Tools,Diagnostic Tools,Premium,False,214.9,381.9,0.161,337.28,Northern Dist,19,1,182,Decline,24.43,-0.487,0.0,4.5975,0.126,12
SKU-00081,Diagnostic Tools - Economy #81,Tools,Diagnostic Tools,Economy,False,281.74,477.99,0.132,440.13,Northern Dist,19,24,90,Mature,6.86,-0.555,0.0,21.2523,0.255,24
SKU-00082,Spark Plugs - Economy #82,Engine Components,Spark Plugs,Economy,False,394.87,566.72,0.124,529.22,Pacific Supply,27,1,150,Decline,22.11,-1.369,0.0,13.0826,0.247,6
SKU-00083,Fuses - Premium #83,Electrical,Fuses,Premium,False,8.72,11.96,0.18,11.47,ValueLine Parts,7,1,141,Decline,11.02,-1.348,0.0,0.6969,0.066,24
SKU-00084,Oil Filter - Economy #84,Filters,Oil Filter,Economy,False,466.79,840.79,0.107,729.76,AutoParts Co,30,1,86,Mature,107.33,-1.314,0.0,32.6528,0.061,1
SKU-00085,Air Filter - Mid-Tier #85,Filters,Air Filter,Mid-Tier,False,252.88,398.4,0.165,390.02,Northern Dist,7,24,10,New,90.06,-1.001,0.0,9.8875,0.144,1
SKU-00086,Shocks - Economy #86,Suspension,Shocks,Economy,False,179.9,296.19,0.183,283.38,AutoParts Co,34,12,14,New,27.08,-1.008,0.0,8.9006,0.269,24
SKU-00087,Alternator - Private Label #87,Electrical,Alternator,Private Label,True,52.57,67.52,0.153,57.98,AutoParts Co,7,1,48,Growth,62.42,-1.442,0.0,3.1088,0.249,1
SKU-00088,Oil Filter - Private Label #88,Filters,Oil Filter,Private Label,True,412.45,611.5,0.182,527.15,AutoParts Co,24,6,32,Mature,92.76,-1.908,0.0,19.7484,0.117,12
SKU-00089,Shocks - Premium #89,Suspension,Shocks,Premium,False,376.99,478.48,0.109,417.67,ValueLine Parts,32,24,12,New,33.08,-1.177,0.0,10.6434,0.2,1
SKU-00090,Bushings - Private Label #90,Suspension,Bushings,Private Label,True,487.92,835.01,0.119,733.73,Pacific Supply,33,1,81,Mature,24.55,-0.841,0.0,25.8864,0.25,6
SKU-00091,Wiring Harness - Premium #91,Electrical,Wiring Harness,Premium,False,29.48,44.83,0.149,39.62,ValueLine Parts,9,1,54,Mature,45.78,-1.039,0.0,1.0684,0.161,1
SKU-00092,Starter - Economy #92,Electrical,Starter,Economy,False,37.71,46.0,0.121,44.45,ValueLine Parts,40,1,114,Mature,15.41,-0.789,0.0,1.8314,0.281,6
SKU-00093,Shocks - Premium #93,Suspension,Shocks,Premium,False,294.96,384.45,0.168,337.48,AutoParts Co,24,1,85,Mature,34.97,-1.231,0.0,8.2829,0.259,1
SKU-00094,Starter - Premium #94,Electrical,Starter,Premium,False,181.9,243.02,0.161,213.06,ValueLine Parts,7,1,74,Mature,9.79,-0.523,0.0,10.4,0.045,1
SKU-00095,Fuel Filter - Economy #95,Filters,Fuel Filter,Economy,False,410.81,605.95,0.2,518.54,Pacific Supply,41,12,16,New,73.45,-1.898,0.0,12.4149,0.294,1
SKU-00096,Control Arms - Private Label #96,Suspension,Control Arms,Private Label,True,193.46,271.46,0.158,235.26,ValueLine Parts,7,12,100,Mature,17.07,-1.075,0.0,10.7099,0.114,24
SKU-00097,Sockets - Mid-Tier #97,Tools,Sockets,Mid-Tier,False,279.13,491.3,0.139,438.63,Northern Dist,17,6,193,Decline,16.81,-0.574,0.0,10.9539,0.11,1
SKU-00098,Control Arms - Premium #98,Suspension,Control Arms,Premium,False,362.94,507.65,0.121,468.64,Northern Dist,37,24,22,New,22.08,-0.771,0.0,20.2679,0.204,24
SKU-00099,Spark Plugs - Private Label #99,Engine Components,Spark Plugs,Private Label,True,740.64,1115.97,0.1,954.17,Northern Dist,17,12,183,Decline,4.07,-1.056,0.0,52.6808,0.154,1
SKU-00100,Struts - Economy #100,Suspension,Struts,Economy,False,168.7,289.5,0.137,267.34,Pacific Supply,35,1,5,New,14.53,-1.111,0.0,8.8043,0.29,6
SKU-00101,Brake Fluid - Private Label #101,Brakes,Brake Fluid,Private Label,True,97.87,148.39,0.188,133.36,ValueLine Parts,13,6,80,Mature,39.58,-1.129,0.0,7.7247,0.186,24
SKU-00102,Bushings - Mid-Tier #102,Suspension,Bushings,Mid-Tier,False,63.61,105.07,0.184,93.19,ValueLine Parts,24,6,76,Mature,3.87,-1.087,0.0,3.9061,0.057,6
SKU-00103,Jacks - Mid-Tier #103,Tools,Jacks,Mid-Tier,False,26.43,38.01,0.152,33.37,AutoParts Co,24,24,116,Mature,3.32,-0.73,0.0,1.1708,0.245,6
SKU-00104,Spark Plugs - Economy #104,Engine Components,Spark Plugs,Economy,False,514.7,730.94,0.143,624.71,Pacific Supply,43,6,19,New,79.5,-1.172,0.0,32.0904,0.098,1
SKU-00105,Power Steering - Premium #105,Fluids,Power Steering,Premium,False,468.26,788.47,0.112,676.33,AutoParts Co,39,6,187,Decline,43.72,-1.464,0.566,20.5257,0.139,24
SKU-00106,Brake Pads - Mid-Tier #106,Brakes,Brake Pads,Mid-Tier,False,98.73,132.92,0.196,114.61,Northern Dist,37,1,193,Decline,57.21,-0.593,0.0,6.9634,0.284,24
SKU-00107,Wrenches - Economy #107,Tools,Wrenches,Economy,False,169.9,294.31,0.197,277.13,Pacific Supply,11,1,93,Mature,9.68,-0.559,0.0,4.3129,0.032,6
SKU-00108,Battery Charger - Private Label #108,Batteries,Battery Charger,Private Label,True,308.05,380.07,0.116,333.23,Northern Dist,42,24,91,Mature,19.06,-0.727,0.406,10.5296,0.024,24
SKU-00109,Alternator - Premium #109,Electrical,Alternator,Premium,False,101.59,152.43,0.191,140.21,AutoParts Co,39,6,160,Decline,64.45,-0.811,0.0,7.2991,0.285,1
SKU-00110,Alternator - Premium #110,Electrical,Alternator,Premium,False,221.73,392.68,0.138,373.12,Northern Dist,16,1,21,New,16.26,-0.905,0.0,13.3861,0.136,12
SKU-00111,Car Battery - Economy #111,Batteries,Car Battery,Economy,False,88.59,156.22,0.119,134.97,Northern Dist,14,24,108,Mature,41.64,-1.253,0.375,4.3566,0.149,24
SKU-00112,Bushings - Mid-Tier #112,Suspension,Bushings,Mid-Tier,False,117.84,181.9,0.105,177.82,Pacific Supply,22,12,17,New,71.95,-0.972,0.0,8.1702,0.198,1
SKU-00113,Diagnostic Tools - Mid-Tier #113,Tools,Diagnostic Tools,Mid-Tier,False,259.03,398.75,0.135,373.28,ValueLine Parts,29,12,186,Decline,11.2,-0.464,0.0,13.0411,0.224,6
SKU-00114,Control Arms - Economy #114,Suspension,Control Arms,Economy,False,69.92,91.23,0.163,86.41,AutoParts Co,43,12,46,Growth,10.64,-0.674,0.0,2.2277,0.094,1
SKU-00115,Wiring Harness - Private Label #115,Electrical,Wiring Harness,Private Label,True,381.47,606.67,0.118,543.88,AutoParts Co,13,1,161,Decline,23.33,-0.974,0.0,10.5425,0.17,24
SKU-00116,Wrenches - Mid-Tier #116,Tools,Wrenches,Mid-Tier,False,228.18,380.34,0.145,363.86,AutoParts Co,22,1,17,New,5.23,-0.68,0.0,7.8621,0.228,1
SKU-00117,Air Filter - Mid-Tier #117,Filters,Air Filter,Mid-Tier,False,69.79,99.48,0.13,89.33,ValueLine Parts,29,6,109,Mature,64.77,-2.146,0.0,5.027,0.3,6
SKU-00118,Coolant - Private Label #118,Fluids,Coolant,Private Label,True,396.77,570.44,0.108,486.05,Pacific Supply,26,12,178,Decline,40.56,-2.036,0.363,27.852,0.042,6
SKU-00119,Wrenches - Economy #119,Tools,Wrenches,Economy,False,298.52,510.89,0.189,455.13,Pacific Supply,21,1,150,Decline,23.53,-0.599,0.0,15.947,0.096,1
SKU-00120,Oil Filter - Premium #120,Filters,Oil Filter,Premium,False,474.9,667.72,0.183,626.7,ValueLine Parts,41,12,42,Growth,39.12,-2.212,0.0,28.8086,0.246,1
SKU-00121,Shocks - Mid-Tier #121,Suspension,Shocks,Mid-Tier,False,482.44,644.49,0.143,584.05,ValueLine Parts,27,1,156,Decline,62.2,-1.123,0.0,33.8227,0.072,12
SKU-00122,Calipers - Private Label #122,Brakes,Calipers,Private Label,True,24.13,31.59,0.152,30.18,Pacific Supply,34,1,115,Mature,32.83,-1.138,0.0,0.756,0.067,1
SKU-00123,Coolant - Mid-Tier #123,Fluids,Coolant,Mid-Tier,False,431.6,667.5,0.169,652.67,Pacific Supply,44,12,131,Decline,74.02,-2.141,0.298,28.1724,0.038,6
SKU-00124,Shocks - Premium #124,Suspension,Shocks,Premium,False,234.59,316.22,0.18,306.1,AutoParts Co,13,1,43,Growth,23.38,-0.738,0.0,17.9761,0.127,1
SKU-00125,Spark Plugs - Economy #125,Engine Components,Spark Plugs,Economy,False,47.39,61.05,0.164,58.11,ValueLine Parts,13,24,80,Mature,68.38,-1.431,0.0,1.5951,0.025,24
SKU-00126,Marine Battery - Economy #126,Batteries,Marine Battery,Economy,False,381.18,485.36,0.178,471.77,ValueLine Parts,34,1,63,Growth,70.38,-0.999,0.411,24.7619,0.093,24
SKU-00127,Shocks - Premium #127,Suspension,Shocks,Premium,False,253.92,371.46,0.158,334.82,ValueLine Parts,35,12,192,Decline,21.24,-0.749,0.0,15.4074,0.162,12
SKU-00128,Air Filter - Private Label #128,Filters,Air Filter,Private Label,True,362.31,633.21,0.198,567.21,AutoParts Co,6,6,159,Decline,118.53,-1.543,0.0,26.2792,0.092,6
SKU-00129,Power Steering - Mid-Tier #129,Fluids,Power Steering,Mid-Tier,False,490.09,842.88,0.13,800.84,Northern Dist,22,1,50,Mature,66.71,-2.261,0.21,30.736,0.173,12
SKU-00130,Struts - Mid-Tier #130,Suspension,Struts,Mid-Tier,False,433.22,533.75,0.14,519.27,Northern Dist,13,6,14,New,60.48,-1.264,0.0,28.0571,0.267,24
SKU-00131,Alternator - Mid-Tier #131,Electrical,Alternator,Mid-Tier,False,390.74,518.46,0.123,442.52,Northern Dist,18,12,90,Mature,51.57,-0.446,0.0,20.2781,0.148,1
SKU-00132,Shocks - Premium #132,Suspension,Shocks,Premium,False,444.59,739.96,0.135,684.63,AutoParts Co,40,12,129,Mature,77.84,-1.201,0.0,17.7524,0.059,24
SKU-00133,Alternator - Premium #133,Electrical,Alternator,Premium,False,64.45,80.49,0.199,69.19,ValueLine Parts,6,12,107,Mature,47.26,-1.354,0.0,3.7287,0.266,1
SKU-00134,Sockets - Economy #134,Tools,Sockets,Economy,False,113.63,163.79,0.117,156.18,ValueLine Parts,38,12,106,Mature,6.91,-0.67,0.0,6.95,0.258,1
SKU-00135,Spark Plugs - Economy #135,Engine Components,Spark Plugs,Economy,False,188.97,298.06,0.191,264.78,Pacific Supply,21,6,52,Growth,50.51,-1.145,0.0,10.8493,0.049,1
SKU-00136,Jacks - Economy #136,Tools,Jacks,Economy,False,142.35,200.62,0.109,176.33,ValueLine Parts,37,1,136,Decline,6.69,-0.58,0.0,9.3418,0.147,6
SKU-00137,Coolant - Economy #137,Fluids,Coolant,Economy,False,464.35,675.7,0.153,627.23,AutoParts Co,17,1,27,Growth,39.56,-1.62,0.569,22.3349,0.289,6
SKU-00138,Control Arms - Premium #138,Suspension,Control Arms,Premium,False,52.12,63.57,0.143,60.39,ValueLine Parts,9,1,39,Growth,46.46,-0.787,0.0,1.5658,0.192,24
SKU-00139,Air Filter - Economy #139,Filters,Air Filter,Economy,False,209.07,340.01,0.123,329.05,ValueLine Parts,33,1,34,Mature,34.63,-1.75,0.0,7.3229,0.086,12
SKU-00140,Power Steering - Private Label #140,Fluids,Power Steering,Private Label,True,265.75,410.45,0.186,398.66,AutoParts Co,15,24,198,Decline,43.23,-2.474,0.533,21.0307,0.296,6
SKU-00141,Pistons - Economy #141,Engine Components,Pistons,Economy,False,270.26,402.03,0.156,368.15,Pacific Supply,36,1,84,Mature,60.44,-1.091,0.0,10.7673,0.047,6
